Disease	Gene	Differential Expression	PB-ROC	PN-ROC
colorectal cancer	ABHD5	vs bgc: down, vs negatives: down	0.71	0.77
colorectal cancer	ARHGAP33	vs bgc: down, vs negatives: down	0.73	0.77
colorectal cancer	FAM189A2	vs bgc: down, vs negatives: down	0.79	0.71
colorectal cancer	ZNF20	vs bgc: down, vs negatives: down	0.73	0.65
colorectal cancer	SST	vs bgc: down, vs negatives: down	0.74	0.7
colorectal cancer	EXPH5	vs bgc: up, vs negatives: up	0.65	0.75
colorectal cancer	KRT20	vs bgc: up, vs negatives: up	0.68	0.93
colorectal cancer	CD7	vs bgc: down, vs negatives: down	0.78	0.67
colorectal cancer	MYCL1	vs bgc: up, vs negatives: up	0.76	0.67
colorectal cancer	CTSW	vs bgc: down, vs negatives: down	0.73	0.66
colorectal cancer	ZBTB25	vs bgc: down, vs negatives: down	0.7	0.66
colorectal cancer	INADL	vs bgc: up, vs negatives: up	0.68	0.65
colorectal cancer	TSHB	vs bgc: down, vs negatives: down	0.66	0.73
colorectal cancer	CMA1	vs bgc: down, vs negatives: down	0.67	0.7
colorectal cancer	KLHL4	vs bgc: down, vs negatives: down	0.71	0.78
colorectal cancer	ATP8B1	vs bgc: up, vs negatives: up	0.69	0.84
colorectal cancer	TEAD1	vs bgc: up, vs negatives: down	0.69	0.73
colorectal cancer	COL4A4	vs bgc: down, vs negatives: down	0.67	0.67
colorectal cancer	GPR3	vs bgc: down, vs negatives: down	0.68	0.66
colorectal cancer	HOXA1	vs bgc: up, vs negatives: down	0.67	0.68
colorectal cancer	CCNB1	vs bgc: up, vs negatives: up	0.65	0.92
colorectal cancer	PIWIL1	vs bgc: up, vs negatives: up	0.9	0.68
colorectal cancer	KCNMA1	vs bgc: down, vs negatives: down	0.69	0.74
colorectal cancer	FNBP1L	vs bgc: up, vs negatives: up	0.73	0.91
colorectal cancer	TRIM58	vs bgc: down, vs negatives: down	0.68	0.75
colorectal cancer	FBXL18	vs bgc: up, vs negatives: down	0.79	0.65
colorectal cancer	SPICE1	vs bgc: up, vs negatives: up	0.73	0.72
colorectal cancer	EXOSC8	vs bgc: up, vs negatives: up	0.69	0.89
colorectal cancer	CDH22	vs bgc: up, vs negatives: down	0.77	0.66
colorectal cancer	ZNF549	vs bgc: down, vs negatives: down	0.79	0.85
colorectal cancer	GGCT	vs bgc: up, vs negatives: up	0.85	0.95
colorectal cancer	STOML2	vs bgc: up, vs negatives: down	0.66	0.77
colorectal cancer	EPHA5	vs bgc: down, vs negatives: down	0.76	0.85
colorectal cancer	DDX27	vs bgc: up, vs negatives: up	0.69	0.81
colorectal cancer	GRM8	vs bgc: up, vs negatives: up	0.7	0.66
colorectal cancer	RRP12	vs bgc: down, vs negatives: down	0.7	0.72
colorectal cancer	HOXB9	vs bgc: up, vs negatives: up	0.69	0.9
colorectal cancer	DSCC1	vs bgc: up, vs negatives: up	0.66	0.87
colorectal cancer	ATP8B2	vs bgc: down, vs negatives: down	0.82	0.74
colorectal cancer	RRN3	vs bgc: up, vs negatives: up	0.69	0.73
colorectal cancer	ZNF227	vs bgc: up, vs negatives: down	0.67	0.66
colorectal cancer	NXPE3	vs bgc: down, vs negatives: down	0.85	0.78
colorectal cancer	FAM5C	vs bgc: down, vs negatives: down	0.68	0.73
colorectal cancer	ZSCAN18	vs bgc: down, vs negatives: down	0.69	0.89
colorectal cancer	TMBIM1	vs bgc: up, vs negatives: up	0.68	0.83
colorectal cancer	PERP	vs bgc: up, vs negatives: up	0.77	0.78
colorectal cancer	YKT6	vs bgc: up, vs negatives: down	0.79	0.68
colorectal cancer	SNX6	vs bgc: up, vs negatives: down	0.65	0.8
colorectal cancer	RAB11B	vs bgc: down, vs negatives: down	0.76	0.76
colorectal cancer	UFC1	vs bgc: up, vs negatives: up	0.67	0.8
colorectal cancer	BZW2	vs bgc: up, vs negatives: up	0.76	0.92
colorectal cancer	YTHDF2	vs bgc: up, vs negatives: up	0.65	0.85
colorectal cancer	SLTM	vs bgc: up, vs negatives: up	0.67	0.72
colorectal cancer	EVL	vs bgc: down, vs negatives: down	0.67	0.9
colorectal cancer	LUC7L2	vs bgc: up, vs negatives: up	0.68	0.76
colorectal cancer	MED4	vs bgc: up, vs negatives: up	0.79	0.7
colorectal cancer	PPA1	vs bgc: up, vs negatives: up	0.88	0.96
colorectal cancer	GNL3	vs bgc: up, vs negatives: up	0.7	0.95
colorectal cancer	SLMO2	vs bgc: up, vs negatives: up	0.65	0.94
colorectal cancer	SDF4	vs bgc: up, vs negatives: down	0.77	0.72
colorectal cancer	HSD17B12	vs bgc: down, vs negatives: up	0.79	0.65
colorectal cancer	CAB39	vs bgc: down, vs negatives: down	0.66	0.73
colorectal cancer	SUCLG1	vs bgc: up, vs negatives: up	0.67	0.84
colorectal cancer	PMEPA1	vs bgc: up, vs negatives: up	0.72	0.86
colorectal cancer	CDC27	vs bgc: up, vs negatives: down	0.66	0.75
colorectal cancer	NAT10	vs bgc: up, vs negatives: up	0.75	0.8
colorectal cancer	FXYD6	vs bgc: down, vs negatives: up	0.66	0.65
colorectal cancer	DUS1L	vs bgc: up, vs negatives: up	0.67	0.81
colorectal cancer	TOLLIP	vs bgc: down, vs negatives: down	0.86	0.79
colorectal cancer	LAP3	vs bgc: up, vs negatives: up	0.73	0.77
colorectal cancer	MRPS35	vs bgc: up, vs negatives: up	0.9	0.97
colorectal cancer	MAP7D1	vs bgc: down, vs negatives: down	0.76	0.76
colorectal cancer	SAE1	vs bgc: down, vs negatives: down	0.65	0.66
colorectal cancer	BCL2L13	vs bgc: down, vs negatives: down	0.8	0.81
colorectal cancer	ENOPH1	vs bgc: up, vs negatives: up	0.77	0.88
colorectal cancer	FAM129A	vs bgc: down, vs negatives: down	0.75	0.72
colorectal cancer	TSSC1	vs bgc: up, vs negatives: up	0.66	0.74
colorectal cancer	LAMTOR3	vs bgc: up, vs negatives: up	0.68	0.7
colorectal cancer	DYNC1LI1	vs bgc: up, vs negatives: down	0.67	0.7
colorectal cancer	MRPL16	vs bgc: up, vs negatives: up	0.71	0.86
colorectal cancer	FXC1	vs bgc: up, vs negatives: up	0.7	0.82
colorectal cancer	ASNSD1	vs bgc: up, vs negatives: up	0.72	0.8
colorectal cancer	ZFAND3	vs bgc: down, vs negatives: down	0.77	0.69
colorectal cancer	MRPL15	vs bgc: up, vs negatives: up	0.68	0.88
colorectal cancer	UFM1	vs bgc: up, vs negatives: up	0.68	0.66
colorectal cancer	C16orf57	vs bgc: down, vs negatives: down	0.71	0.81
colorectal cancer	ARGLU1	vs bgc: down, vs negatives: up	0.74	0.69
colorectal cancer	DCTPP1	vs bgc: up, vs negatives: up	0.75	0.92
colorectal cancer	FAF1	vs bgc: down, vs negatives: down	0.66	0.69
colorectal cancer	RETSAT	vs bgc: up, vs negatives: down	0.66	0.66
colorectal cancer	NFYB	vs bgc: up, vs negatives: up	0.65	0.68
colorectal cancer	CLDN1	vs bgc: up, vs negatives: up	0.65	0.8
colorectal cancer	C16orf5	vs bgc: down, vs negatives: down	0.8	0.71
colorectal cancer	LMBRD1	vs bgc: down, vs negatives: up	0.68	0.79
colorectal cancer	OSTM1	vs bgc: down, vs negatives: down	0.79	0.72
colorectal cancer	DHX32	vs bgc: up, vs negatives: up	0.66	0.88
colorectal cancer	NOL6	vs bgc: down, vs negatives: down	0.65	0.69
colorectal cancer	ALG5	vs bgc: down, vs negatives: up	0.8	0.66
colorectal cancer	C11orf10	vs bgc: up, vs negatives: up	0.73	0.84
colorectal cancer	PLEKHO1	vs bgc: down, vs negatives: down	0.66	0.77
colorectal cancer	PRICKLE4	vs bgc: up, vs negatives: up	0.7	0.77
colorectal cancer	MEX3C	vs bgc: down, vs negatives: down	0.71	0.78
colorectal cancer	ZDHHC6	vs bgc: up, vs negatives: up	0.84	0.9
colorectal cancer	CKAP2	vs bgc: up, vs negatives: up	0.75	0.67
colorectal cancer	POLR1D	vs bgc: up, vs negatives: up	0.83	0.72
colorectal cancer	DDA1	vs bgc: down, vs negatives: down	0.74	0.72
colorectal cancer	TBC1D15	vs bgc: down, vs negatives: up	0.77	0.67
colorectal cancer	SS18L2	vs bgc: up, vs negatives: up	0.71	0.71
colorectal cancer	EIF2C1	vs bgc: down, vs negatives: down	0.79	0.79
colorectal cancer	UBA5	vs bgc: up, vs negatives: up	0.67	0.81
colorectal cancer	PLEKHJ1	vs bgc: up, vs negatives: up	0.71	0.81
colorectal cancer	OSBPL11	vs bgc: down, vs negatives: down	0.65	0.69
colorectal cancer	SNAP29	vs bgc: down, vs negatives: down	0.82	0.7
colorectal cancer	BEX1	vs bgc: down, vs negatives: down	0.68	0.8
colorectal cancer	SESN1	vs bgc: up, vs negatives: up	0.87	0.7
colorectal cancer	TYW1	vs bgc: up, vs negatives: up	0.78	0.84
colorectal cancer	NRSN2	vs bgc: down, vs negatives: down	0.83	0.75
colorectal cancer	LRRFIP2	vs bgc: down, vs negatives: down	0.7	0.87
colorectal cancer	DARS2	vs bgc: up, vs negatives: down	0.67	0.74
colorectal cancer	MED9	vs bgc: down, vs negatives: down	0.79	0.66
colorectal cancer	ROGDI	vs bgc: down, vs negatives: down	0.73	0.86
colorectal cancer	FANCL	vs bgc: up, vs negatives: up	0.65	0.86
colorectal cancer	TRIAP1	vs bgc: up, vs negatives: up	0.73	0.85
colorectal cancer	GTF2IRD1	vs bgc: up, vs negatives: up	0.67	0.89
colorectal cancer	PROSER1	vs bgc: up, vs negatives: up	0.83	0.88
colorectal cancer	REV1	vs bgc: down, vs negatives: up	0.71	0.66
colorectal cancer	VIPAS39	vs bgc: down, vs negatives: down	0.79	0.7
colorectal cancer	DNAJC15	vs bgc: up, vs negatives: up	0.88	0.9
colorectal cancer	CMC2	vs bgc: up, vs negatives: up	0.65	0.77
colorectal cancer	GID8	vs bgc: up, vs negatives: up	0.7	0.7
colorectal cancer	TBC1D17	vs bgc: down, vs negatives: down	0.88	0.73
colorectal cancer	BBS1	vs bgc: down, vs negatives: down	0.67	0.77
colorectal cancer	PELO	vs bgc: down, vs negatives: up	0.77	0.76
colorectal cancer	XPO4	vs bgc: up, vs negatives: up	0.7	0.76
colorectal cancer	ERO1L	vs bgc: up, vs negatives: up	0.69	0.88
colorectal cancer	THEM6	vs bgc: up, vs negatives: up	0.74	0.7
colorectal cancer	FOCAD	vs bgc: up, vs negatives: up	0.79	0.83
colorectal cancer	HILPDA	vs bgc: up, vs negatives: up	0.73	0.77
colorectal cancer	DCP1A	vs bgc: up, vs negatives: up	0.73	0.67
colorectal cancer	WDR12	vs bgc: up, vs negatives: up	0.71	0.94
colorectal cancer	RIOK2	vs bgc: up, vs negatives: up	0.7	0.71
colorectal cancer	PARP12	vs bgc: up, vs negatives: up	0.71	0.69
colorectal cancer	NIT2	vs bgc: up, vs negatives: up	0.71	0.84
colorectal cancer	ABHD4	vs bgc: down, vs negatives: down	0.8	0.78
colorectal cancer	C10orf2	vs bgc: up, vs negatives: up	0.65	0.83
colorectal cancer	CECR5	vs bgc: up, vs negatives: up	0.73	0.73
colorectal cancer	TBC1D13	vs bgc: down, vs negatives: down	0.75	0.69
colorectal cancer	HECA	vs bgc: down, vs negatives: up	0.67	0.77
colorectal cancer	LEMD3	vs bgc: up, vs negatives: up	0.72	0.82
colorectal cancer	TRIT1	vs bgc: up, vs negatives: up	0.69	0.83
colorectal cancer	NUP37	vs bgc: up, vs negatives: up	0.69	0.93
colorectal cancer	CHCHD7	vs bgc: up, vs negatives: up	0.75	0.83
colorectal cancer	PLEK2	vs bgc: up, vs negatives: up	0.88	0.92
colorectal cancer	MRPS33	vs bgc: up, vs negatives: up	0.65	0.92
colorectal cancer	RAPGEFL1	vs bgc: up, vs negatives: up	0.65	0.78
colorectal cancer	FZD4	vs bgc: down, vs negatives: down	0.67	0.68
colorectal cancer	LRRC8D	vs bgc: up, vs negatives: down	0.69	0.72
colorectal cancer	FANCF	vs bgc: up, vs negatives: up	0.75	0.89
colorectal cancer	SYBU	vs bgc: up, vs negatives: up	0.84	0.74
colorectal cancer	RNF43	vs bgc: up, vs negatives: up	0.94	0.95
colorectal cancer	SNX24	vs bgc: down, vs negatives: down	0.86	0.74
colorectal cancer	UTP6	vs bgc: down, vs negatives: up	0.76	0.7
colorectal cancer	CCDC51	vs bgc: up, vs negatives: up	0.66	0.91
colorectal cancer	RGCC	vs bgc: down, vs negatives: up	0.8	0.89
colorectal cancer	SLC24A6	vs bgc: down, vs negatives: down	0.7	0.74
colorectal cancer	NUP107	vs bgc: up, vs negatives: up	0.67	0.89
colorectal cancer	ANKRA2	vs bgc: up, vs negatives: up	0.73	0.76
colorectal cancer	RABL5	vs bgc: up, vs negatives: down	0.66	0.69
colorectal cancer	SCML1	vs bgc: up, vs negatives: up	0.84	0.84
colorectal cancer	ACP6	vs bgc: up, vs negatives: up	0.68	0.87
colorectal cancer	FERMT1	vs bgc: up, vs negatives: up	0.84	0.9
colorectal cancer	CHFR	vs bgc: down, vs negatives: down	0.77	0.72
colorectal cancer	ANO1	vs bgc: up, vs negatives: up	0.8	0.66
colorectal cancer	GIMAP5	vs bgc: down, vs negatives: up	0.69	0.72
colorectal cancer	TMEM51	vs bgc: up, vs negatives: up	0.65	0.71
colorectal cancer	SPCS3	vs bgc: up, vs negatives: up	0.73	0.77
colorectal cancer	KCTD9	vs bgc: up, vs negatives: down	0.68	0.74
colorectal cancer	ZAK	vs bgc: up, vs negatives: up	0.7	0.82
colorectal cancer	ACSF2	vs bgc: up, vs negatives: down	0.66	0.69
colorectal cancer	ESF1	vs bgc: up, vs negatives: up	0.65	0.77
colorectal cancer	C10orf76	vs bgc: down, vs negatives: down	0.7	0.68
colorectal cancer	FAM57A	vs bgc: up, vs negatives: up	0.67	0.85
colorectal cancer	BAALC	vs bgc: down, vs negatives: down	0.72	0.88
colorectal cancer	NOTCH1	vs bgc: down, vs negatives: up	0.76	0.65
colorectal cancer	INTS8	vs bgc: up, vs negatives: up	0.71	0.87
colorectal cancer	ANO10	vs bgc: up, vs negatives: down	0.72	0.72
colorectal cancer	ZFAND1	vs bgc: up, vs negatives: up	0.73	0.89
colorectal cancer	CERS4	vs bgc: down, vs negatives: down	0.72	0.71
colorectal cancer	MYNN	vs bgc: down, vs negatives: up	0.65	0.71
colorectal cancer	ZNF434	vs bgc: down, vs negatives: down	0.68	0.73
colorectal cancer	NFU1	vs bgc: up, vs negatives: up	0.68	0.84
colorectal cancer	MTPAP	vs bgc: up, vs negatives: up	0.7	0.83
colorectal cancer	QRSL1	vs bgc: up, vs negatives: up	0.71	0.68
colorectal cancer	PCSK1N	vs bgc: down, vs negatives: down	0.82	0.67
colorectal cancer	HOXC10	vs bgc: down, vs negatives: down	0.8	0.76
colorectal cancer	KRT23	vs bgc: up, vs negatives: up	0.86	0.69
colorectal cancer	ACN9	vs bgc: up, vs negatives: up	0.69	0.81
colorectal cancer	MRPS17	vs bgc: up, vs negatives: up	0.69	0.92
colorectal cancer	PUS7	vs bgc: up, vs negatives: up	0.77	0.93
colorectal cancer	TMEM140	vs bgc: down, vs negatives: down	0.65	0.72
colorectal cancer	NDUFAF4	vs bgc: up, vs negatives: up	0.8	0.84
colorectal cancer	C1orf106	vs bgc: up, vs negatives: up	0.67	0.9
colorectal cancer	MORC4	vs bgc: up, vs negatives: up	0.65	0.81
colorectal cancer	ANKRD49	vs bgc: up, vs negatives: up	0.68	0.73
colorectal cancer	CTPS2	vs bgc: up, vs negatives: up	0.77	0.89
colorectal cancer	GEMIN7	vs bgc: up, vs negatives: down	0.74	0.7
colorectal cancer	ASAP3	vs bgc: down, vs negatives: down	0.87	0.7
colorectal cancer	RNF141	vs bgc: down, vs negatives: up	0.68	0.71
colorectal cancer	HSD17B14	vs bgc: down, vs negatives: down	0.77	0.69
colorectal cancer	IL20RA	vs bgc: up, vs negatives: up	0.9	0.76
colorectal cancer	PRR15L	vs bgc: up, vs negatives: up	0.76	0.93
colorectal cancer	RPP25	vs bgc: up, vs negatives: up	0.65	0.84
colorectal cancer	TEFM	vs bgc: up, vs negatives: up	0.71	0.77
colorectal cancer	DBR1	vs bgc: up, vs negatives: down	0.65	0.81
colorectal cancer	PITPNC1	vs bgc: down, vs negatives: up	0.67	0.81
colorectal cancer	PDLIM2	vs bgc: down, vs negatives: down	0.75	0.76
colorectal cancer	TFB1M	vs bgc: up, vs negatives: up	0.72	0.86
colorectal cancer	UBTD1	vs bgc: down, vs negatives: down	0.7	0.66
colorectal cancer	BRIX1	vs bgc: up, vs negatives: up	0.69	0.81
colorectal cancer	LIPG	vs bgc: up, vs negatives: up	0.86	0.84
colorectal cancer	RBKS	vs bgc: up, vs negatives: down	0.67	0.69
colorectal cancer	TGS1	vs bgc: up, vs negatives: up	0.89	0.7
colorectal cancer	THUMPD2	vs bgc: up, vs negatives: up	0.67	0.74
colorectal cancer	GEMIN8	vs bgc: up, vs negatives: up	0.68	0.74
colorectal cancer	CAAP1	vs bgc: up, vs negatives: up	0.71	0.9
colorectal cancer	C1GALT1C1	vs bgc: up, vs negatives: up	0.78	0.78
colorectal cancer	DAPP1	vs bgc: down, vs negatives: up	0.77	0.77
colorectal cancer	PCOLCE2	vs bgc: down, vs negatives: down	0.78	0.66
colorectal cancer	RNF219	vs bgc: up, vs negatives: up	0.79	0.65
colorectal cancer	KIF15	vs bgc: up, vs negatives: up	0.65	0.89
colorectal cancer	AK5	vs bgc: down, vs negatives: down	0.71	0.75
colorectal cancer	FLVCR2	vs bgc: down, vs negatives: down	0.72	0.67
colorectal cancer	HIF3A	vs bgc: down, vs negatives: down	0.69	0.84
colorectal cancer	MPP5	vs bgc: up, vs negatives: down	0.72	0.76
colorectal cancer	ARMCX5	vs bgc: up, vs negatives: up	0.67	0.72
colorectal cancer	SLC29A3	vs bgc: up, vs negatives: up	0.72	0.7
colorectal cancer	NUDT15	vs bgc: up, vs negatives: up	0.77	0.94
colorectal cancer	MTERFD1	vs bgc: up, vs negatives: up	0.67	0.85
colorectal cancer	PRR5L	vs bgc: up, vs negatives: up	0.65	0.65
colorectal cancer	GRHL2	vs bgc: up, vs negatives: up	0.92	0.83
colorectal cancer	XYLT2	vs bgc: down, vs negatives: down	0.79	0.67
colorectal cancer	LAMC3	vs bgc: down, vs negatives: down	0.83	0.65
colorectal cancer	SCARA3	vs bgc: down, vs negatives: down	0.81	0.76
colorectal cancer	GPR137	vs bgc: down, vs negatives: down	0.83	0.77
colorectal cancer	BCORL1	vs bgc: down, vs negatives: down	0.67	0.79
colorectal cancer	TMEM70	vs bgc: up, vs negatives: up	0.68	0.66
colorectal cancer	C4orf19	vs bgc: up, vs negatives: up	0.67	0.8
colorectal cancer	EGFL6	vs bgc: up, vs negatives: up	0.92	0.68
colorectal cancer	KIAA0226L	vs bgc: up, vs negatives: up	0.87	0.81
colorectal cancer	THSD1	vs bgc: up, vs negatives: up	0.7	0.73
colorectal cancer	RAD54B	vs bgc: up, vs negatives: up	0.66	0.77
colorectal cancer	PALB2	vs bgc: up, vs negatives: up	0.68	0.91
colorectal cancer	CEP72	vs bgc: up, vs negatives: up	0.74	0.81
colorectal cancer	HUNK	vs bgc: up, vs negatives: up	0.85	0.75
colorectal cancer	WDR5B	vs bgc: up, vs negatives: up	0.66	0.71
colorectal cancer	ZNF267	vs bgc: up, vs negatives: up	0.7	0.82
colorectal cancer	BORA	vs bgc: up, vs negatives: up	0.78	0.94
colorectal cancer	KCTD14	vs bgc: up, vs negatives: up	0.84	0.88
colorectal cancer	ZNF16	vs bgc: up, vs negatives: up	0.65	0.79
colorectal cancer	COPZ2	vs bgc: down, vs negatives: down	0.75	0.68
colorectal cancer	CADPS2	vs bgc: up, vs negatives: up	0.77	0.71
colorectal cancer	CPEB1	vs bgc: down, vs negatives: down	0.91	0.78
colorectal cancer	TMC5	vs bgc: up, vs negatives: up	0.79	0.87
colorectal cancer	TSEN2	vs bgc: up, vs negatives: up	0.75	0.77
colorectal cancer	PIEZO2	vs bgc: down, vs negatives: down	0.71	0.85
colorectal cancer	SLC6A20	vs bgc: up, vs negatives: up	0.85	0.73
colorectal cancer	KCNK5	vs bgc: up, vs negatives: up	0.73	0.82
colorectal cancer	CLSPN	vs bgc: down, vs negatives: down	0.73	0.69
colorectal cancer	ACTR5	vs bgc: up, vs negatives: up	0.67	0.68
colorectal cancer	ATP8A2	vs bgc: down, vs negatives: down	0.71	0.84
colorectal cancer	RANBP17	vs bgc: up, vs negatives: up	0.73	0.78
colorectal cancer	TMEM121	vs bgc: down, vs negatives: down	0.84	0.7
colorectal cancer	BEND5	vs bgc: down, vs negatives: down	0.75	0.84
colorectal cancer	ZSCAN16	vs bgc: up, vs negatives: up	0.73	0.74
colorectal cancer	NLRX1	vs bgc: down, vs negatives: down	0.72	0.65
colorectal cancer	FZD3	vs bgc: up, vs negatives: up	0.7	0.7
colorectal cancer	TMEM35	vs bgc: down, vs negatives: up	0.71	0.65
colorectal cancer	STK32B	vs bgc: down, vs negatives: down	0.81	0.7
colorectal cancer	YBX2	vs bgc: up, vs negatives: up	0.76	0.8
colorectal cancer	SH3TC2	vs bgc: down, vs negatives: up	0.66	0.66
colorectal cancer	TFCP2L1	vs bgc: up, vs negatives: up	0.69	0.69
colorectal cancer	RBM41	vs bgc: up, vs negatives: up	0.73	0.68
colorectal cancer	POF1B	vs bgc: up, vs negatives: up	0.78	0.86
colorectal cancer	CLEC1A	vs bgc: down, vs negatives: up	0.76	0.8
colorectal cancer	CRYZL1	vs bgc: down, vs negatives: down	0.8	0.71
colorectal cancer	GTDC1	vs bgc: down, vs negatives: down	0.69	0.81
colorectal cancer	TBC1D8B	vs bgc: up, vs negatives: up	0.75	0.72
colorectal cancer	GIMAP6	vs bgc: down, vs negatives: up	0.69	0.72
colorectal cancer	RAB4B	vs bgc: down, vs negatives: down	0.73	0.68
colorectal cancer	CYTL1	vs bgc: down, vs negatives: down	0.66	0.69
colorectal cancer	ZNF671	vs bgc: down, vs negatives: down	0.72	0.82
colorectal cancer	ANKFY1	vs bgc: down, vs negatives: down	0.76	0.75
colorectal cancer	SLC12A8	vs bgc: up, vs negatives: up	0.7	0.82
colorectal cancer	TTLL7	vs bgc: down, vs negatives: down	0.77	0.79
colorectal cancer	CLEC5A	vs bgc: down, vs negatives: up	0.83	0.66
colorectal cancer	SLCO4A1	vs bgc: up, vs negatives: up	0.73	0.66
colorectal cancer	POPDC3	vs bgc: down, vs negatives: down	0.76	0.72
colorectal cancer	CABYR	vs bgc: down, vs negatives: down	0.71	0.69
colorectal cancer	PCID2	vs bgc: up, vs negatives: up	0.76	0.72
colorectal cancer	CLIP4	vs bgc: down, vs negatives: down	0.83	0.78
colorectal cancer	MCOLN1	vs bgc: down, vs negatives: down	0.87	0.69
colorectal cancer	GALNT6	vs bgc: up, vs negatives: up	0.88	0.76
colorectal cancer	DUSP13	vs bgc: down, vs negatives: down	0.77	0.67
colorectal cancer	HRASLS	vs bgc: down, vs negatives: down	0.75	0.83
colorectal cancer	ACAD10	vs bgc: down, vs negatives: down	0.72	0.83
colorectal cancer	ASB7	vs bgc: up, vs negatives: down	0.71	0.74
colorectal cancer	PRX	vs bgc: down, vs negatives: down	0.76	0.68
colorectal cancer	STYK1	vs bgc: up, vs negatives: up	0.66	0.81
colorectal cancer	EDAR	vs bgc: up, vs negatives: up	0.82	0.73
colorectal cancer	IL22RA1	vs bgc: up, vs negatives: up	0.73	0.85
colorectal cancer	PPP1R14D	vs bgc: up, vs negatives: up	0.69	0.89
colorectal cancer	C5AR1	vs bgc: down, vs negatives: up	0.84	0.69
colorectal cancer	SLC2A6	vs bgc: down, vs negatives: down	0.75	0.71
colorectal cancer	POLR1B	vs bgc: up, vs negatives: up	0.72	0.69
colorectal cancer	FBXL12	vs bgc: down, vs negatives: down	0.71	0.68
colorectal cancer	EPB41L4B	vs bgc: up, vs negatives: up	0.72	0.71
colorectal cancer	CARD9	vs bgc: down, vs negatives: up	0.81	0.65
colorectal cancer	CNNM1	vs bgc: down, vs negatives: down	0.8	0.85
colorectal cancer	CBWD2	vs bgc: up, vs negatives: up	0.73	0.79
colorectal cancer	CBWD1	vs bgc: up, vs negatives: up	0.7	0.83
colorectal cancer	MFSD12	vs bgc: up, vs negatives: down	0.65	0.65
colorectal cancer	CCDC68	vs bgc: up, vs negatives: up	0.67	0.82
colorectal cancer	TRPM8	vs bgc: down, vs negatives: down	0.76	0.66
colorectal cancer	ZNF701	vs bgc: down, vs negatives: up	0.69	0.67
colorectal cancer	TUBAL3	vs bgc: up, vs negatives: up	0.69	0.82
colorectal cancer	RMND1	vs bgc: up, vs negatives: down	0.72	0.67
colorectal cancer	PDE7B	vs bgc: down, vs negatives: down	0.8	0.75
colorectal cancer	SGK2	vs bgc: up, vs negatives: up	0.69	0.69
colorectal cancer	DNAJC28	vs bgc: down, vs negatives: down	0.67	0.73
colorectal cancer	LRRC19	vs bgc: up, vs negatives: up	0.68	0.81
colorectal cancer	CD207	vs bgc: down, vs negatives: down	0.76	0.76
colorectal cancer	CYP39A1	vs bgc: up, vs negatives: up	0.85	0.8
colorectal cancer	GALNT4	vs bgc: up, vs negatives: up	0.77	0.89
colorectal cancer	VAX2	vs bgc: down, vs negatives: down	0.75	0.74
colorectal cancer	KCNK12	vs bgc: down, vs negatives: down	0.8	0.76
colorectal cancer	ARL14	vs bgc: up, vs negatives: up	0.7	0.88
colorectal cancer	MYCT1	vs bgc: down, vs negatives: up	0.73	0.73
colorectal cancer	NUP62CL	vs bgc: up, vs negatives: up	0.8	0.74
colorectal cancer	FAM35A	vs bgc: up, vs negatives: up	0.71	0.83
colorectal cancer	CCR10	vs bgc: down, vs negatives: down	0.74	0.71
colorectal cancer	PDZRN4	vs bgc: down, vs negatives: up	0.67	0.7
colorectal cancer	SIRT2	vs bgc: down, vs negatives: down	0.72	0.79
colorectal cancer	LRRC31	vs bgc: up, vs negatives: up	0.71	0.82
colorectal cancer	OSGEPL1	vs bgc: up, vs negatives: down	0.65	0.7
colorectal cancer	CRYL1	vs bgc: up, vs negatives: up	0.74	0.84
colorectal cancer	UBXN6	vs bgc: down, vs negatives: down	0.85	0.68
colorectal cancer	TBRG4	vs bgc: up, vs negatives: up	0.7	0.81
colorectal cancer	MS4A5	vs bgc: down, vs negatives: down	0.76	0.68
colorectal cancer	GREM2	vs bgc: down, vs negatives: down	0.7	0.72
colorectal cancer	TMOD3	vs bgc: up, vs negatives: down	0.72	0.77
colorectal cancer	HAO2	vs bgc: down, vs negatives: down	0.75	0.77
colorectal cancer	PDSS1	vs bgc: up, vs negatives: up	0.78	0.72
colorectal cancer	DDX47	vs bgc: up, vs negatives: up	0.67	0.82
colorectal cancer	PNMA3	vs bgc: down, vs negatives: down	0.8	0.69
colorectal cancer	PGLYRP4	vs bgc: down, vs negatives: down	0.66	0.7
colorectal cancer	A1CF	vs bgc: up, vs negatives: up	0.71	0.76
colorectal cancer	EGLN2	vs bgc: down, vs negatives: down	0.7	0.81
colorectal cancer	STXBP6	vs bgc: up, vs negatives: up	0.71	0.73
colorectal cancer	SNX27	vs bgc: down, vs negatives: down	0.79	0.74
colorectal cancer	PUS7L	vs bgc: up, vs negatives: up	0.68	0.68
colorectal cancer	APOLD1	vs bgc: up, vs negatives: up	0.76	0.67
colorectal cancer	TEX14	vs bgc: down, vs negatives: down	0.72	0.73
colorectal cancer	TACO1	vs bgc: down, vs negatives: down	0.67	0.76
colorectal cancer	METTL2B	vs bgc: up, vs negatives: down	0.67	0.8
colorectal cancer	IL1RAPL2	vs bgc: down, vs negatives: down	0.73	0.67
colorectal cancer	VSX1	vs bgc: down, vs negatives: down	0.78	0.65
colorectal cancer	C7orf69	vs bgc: down, vs negatives: down	0.65	0.67
colorectal cancer	CIDEB	vs bgc: down, vs negatives: down	0.65	0.81
